Airport,Airport_Name,Delay_Type,Distribution,KS_Statistic,P_value,AIC,BIC,P90,P95,P99,Sample_Size,Data_P90,Data_P95,Data_P99
LIRF,Rome Fiumicino,negative,Log-Logistic,0.036552062784319495,2.396718932337676e-223,1268658.16315117,1268688.659340591,21.36007614900065,29.359600833818448,58.15475427332482,192028,19.95,24.066666666666666,33.03333333333333
LIRF,Rome Fiumicino,negative,Burr XII,0.016689415860753343,6.843967620329532e-47,1244495.9662939466,1244536.6278798415,18.980037825997805,22.734824360483266,32.64898229930613,192028,19.95,24.066666666666666,33.03333333333333
LIRF,Rome Fiumicino,negative,Generalized Gamma,0.032494042293947034,1.3788976724440972e-176,1252797.5999905,1252838.2615763948,20.60646851062534,25.963880230730336,38.390976680696475,192028,19.95,24.066666666666666,33.03333333333333
LIRF,Rome Fiumicino,negative,Weibull,0.6245324819318286,0.0,1701156.5050907119,1701187.001280133,10.660193112646466,24.907098341052667,99.75972314233918,192028,19.95,24.066666666666666,33.03333333333333
LIRF,Rome Fiumicino,negative,Gamma,0.967690280050313,0.0,3682297.181653786,3682327.677843207,0.016686320823081652,0.023632927590591494,0.7798139301302718,192028,19.95,24.066666666666666,33.03333333333333
LIRF,Rome Fiumicino,negative,Log-Normal,0.03437516193032897,1.405396558499705e-197,1259780.5924086764,1259811.0885980974,20.279391298090676,25.991853787971987,40.80127674169719,192028,19.95,24.066666666666666,33.03333333333333
EIDW,Dublin,positive,Log-Logistic,0.029295716604612485,5.596512188935602e-101,971699.2086798614,971728.6444570939,31.822306964952517,49.114924457189105,127.36179143707794,134851,28.116666666666667,38.13333333333333,72.65
EIDW,Dublin,positive,Burr XII,0.007278855299730699,1.2390942184220118e-06,961418.8288641105,961458.0765670873,28.450036933223405,38.983420982434794,75.95722869024203,134851,28.116666666666667,38.13333333333333,72.65
EIDW,Dublin,positive,Generalized Gamma,0.021782558762263093,5.165149997228277e-56,964981.2982523857,965020.5459553625,30.27975553586935,40.354105172427545,65.50465885530687,134851,28.116666666666667,38.13333333333333,72.65
EIDW,Dublin,positive,Weibull,0.02768102063227662,3.3747463491161253e-90,966560.3386367372,966589.7744139697,30.620881024268613,39.92356123301482,61.589752226172905,134851,28.116666666666667,38.13333333333333,72.65
EIDW,Dublin,positive,Gamma,0.8658983267741499,0.0,2257238.9002633486,2257268.336040581,0.6389582023223539,1.556947783259117,4.746313461953762,134851,28.116666666666667,38.13333333333333,72.65
EIDW,Dublin,positive,Log-Normal,0.02947928114606785,3.0455361537354647e-102,968618.46525584,968647.9010330725,29.894861581679514,42.01474241572264,78.99076873875673,134851,28.116666666666667,38.13333333333333,72.65
EIDW,Dublin,negative,Log-Logistic,0.03714496114791746,7.918798984324383e-158,873287.2609456617,873316.6164601996,22.211848544725264,31.166172226686623,64.77230099974896,131291,20.516666666666666,24.783333333333335,33.5
EIDW,Dublin,negative,Burr XII,0.018586164570503383,7.921447649701774e-40,855303.3775049323,855342.5181909829,20.269496331338683,24.92086385232565,37.94590322804735,131291,20.516666666666666,24.783333333333335,33.5
EIDW,Dublin,negative,Generalized Gamma,0.024153656935141488,5.700318586557804e-67,860292.8440580902,860331.9847441408,21.324473469371775,26.67268725789262,38.49375095985651,131291,20.516666666666666,24.783333333333335,33.5
EIDW,Dublin,negative,Weibull,0.5742366876915623,0.0,1111607.3380457945,1111636.6935603323,11.701202561156745,24.20406536836764,79.4291981300139,131291,20.516666666666666,24.783333333333335,33.5
EIDW,Dublin,negative,Gamma,0.9580994033099328,0.0,2429500.11052566,2429529.466040198,0.017174949658516757,0.050999049765633006,1.1784154398569993,131291,20.516666666666666,24.783333333333335,33.5
EIDW,Dublin,negative,Log-Normal,0.03655738694942667,6.922858373940005e-153,867133.0336182239,867162.3891327617,20.86964452185349,27.112498675965078,43.6980114337007,131291,20.516666666666666,24.783333333333335,33.5
LATI,Tirana,positive,Log-Logistic,0.03197640195613394,7.902878204822958e-21,158208.68073053227,158232.80499574816,25.6157049432173,37.0728012567055,82.94882660728662,22958,23.133333333333333,29.666666666666668,50.73100000000001
LATI,Tirana,positive,Burr XII,0.017707183156301265,1.1043823437238089e-06,156415.87366527566,156448.03935223017,21.699526498735914,27.134872299846528,42.979755371044234,22958,23.133333333333333,29.666666666666668,50.73100000000001
LATI,Tirana,positive,Generalized Gamma,0.026236344337547346,3.6738101383756815e-14,156937.2475286341,156969.4132155886,24.74582434790674,32.10929471268055,50.015307333384335,22958,23.133333333333333,29.666666666666668,50.73100000000001
LATI,Tirana,positive,Weibull,0.024310395058642853,3.217213387216184e-12,156974.35045162556,156998.47471684145,24.952914989578876,31.558348981047,46.322340713457535,22958,23.133333333333333,29.666666666666668,50.73100000000001
LATI,Tirana,positive,Gamma,0.8356824353785322,0.0,338855.20651178487,338879.33077700075,1.1614672331517224,2.2943887407988,5.72619352948549,22958,23.133333333333333,29.666666666666668,50.73100000000001
LATI,Tirana,positive,Log-Normal,0.03149211745996883,3.244286578374527e-20,157535.4226429278,157559.54690814367,24.397667133266822,32.65259083889639,55.83691805360711,22958,23.133333333333333,29.666666666666668,50.73100000000001
LATI,Tirana,negative,Log-Logistic,0.03432626759041657,4.9228552892536834e-14,82893.64900820145,82916.13195494894,19.13791175756748,28.62136735751918,69.02063280133169,13284,16.883333333333333,21.844999999999953,35.26700000000001
LATI,Tirana,negative,Burr XII,0.012552380039649313,0.03015468120080267,81551.39243092216,81581.36969325214,17.280978702662694,23.192117853004497,43.19993504193701,13284,16.883333333333333,21.844999999999953,35.26700000000001
LATI,Tirana,negative,Generalized Gamma,0.01795595837519287,0.00037625061068855236,81755.36701474727,81785.34427707725,17.895026546946443,22.987414119013227,34.73766555896939,13284,16.883333333333333,21.844999999999953,35.26700000000001
LATI,Tirana,negative,Weibull,0.016429692309680666,0.0015189369717930742,81766.49882256913,81788.98176931663,17.92468711127434,22.884799224630477,34.11449747348934,13284,16.883333333333333,21.844999999999953,35.26700000000001
LATI,Tirana,negative,Gamma,0.8556725346860444,0.0,178162.16469632,178184.64764306747,0.5133253458484518,1.3000682088598912,4.109454842768484,13284,16.883333333333333,21.844999999999953,35.26700000000001
LATI,Tirana,negative,Log-Normal,0.03424058330150381,5.75526218669179e-14,82409.79145802147,82432.27440476896,17.763328383728446,24.223903653645706,42.941690091962016,13284,16.883333333333333,21.844999999999953,35.26700000000001
LQSA,Sarajevo,positive,Log-Logistic,0.03339213197219726,1.3493848359007716e-09,67318.81321971465,67340.2767511757,29.128842442887553,42.914566195762156,100.04265841675254,9457,26.496666666666655,34.86999999999998,56.09600000000003
LQSA,Sarajevo,positive,Burr XII,0.009083747264195363,0.4136611323160637,66567.81384539264,66596.4318873407,26.184558034830832,34.432813777599,61.270930590142825,9457,26.496666666666655,34.86999999999998,56.09600000000003
