Airport,Avg Origin Delay,Avg Destination Delay
EPGD,4.767549047893826,0.0
EPKK,4.857127808157565,0.0
EPKT,0.5532910279654965,0.0
EPLB,-0.19813193228254525,0.0
EPLL,-1.632843137254902,0.0
EPML,18.6,0.0
EPMO,2.5366638441998304,0.0
EPPO,2.3799652448657187,0.0
EPPW,8.25,0.0
EPRA,1.9977777777777777,0.0
EPRZ,1.4410130718954248,0.0
EPSC,1.7339655172413793,0.0
EPSY,-7.739999999999999,0.0
EPWA,6.93548889841559,0.0
EPWR,3.265077933142886,0.0
EPZG,-11.178571428571427,0.0
ESDF,-0.9833333333333333,0.0
ESGG,6.364884631231973,0.0
ESGJ,-2.9433673469387758,0.0
ESGP,3.82,0.0
ESGR,-10.416666666666666,0.0
ESGT,8.636111111111111,0.0
ESKM,-14.291666666666666,0.0
ESKN,1.927276688453159,0.0
ESKS,-4.904761904761904,0.0
ESMK,-3.088888888888889,0.0
ESMQ,-5.140163934426229,0.0
ESMS,-0.24102960102960103,0.0
ESMT,13.775,0.0
ESMX,5.227263969171484,0.0
ESNK,-23.533333333333335,0.0
ESNN,-1.8136363636363635,0.0
ESNO,15.714227642276423,0.0
ESNQ,7.986274509803922,0.0
ESNS,5.605555555555555,0.0
ESNU,-1.6266666666666665,0.0
ESNX,1.8646067415730339,0.0
ESNZ,10.041552511415524,0.0
ESOE,4.927272727272727,0.0
ESOK,2.785185185185185,0.0
ESOW,-0.41000000000000003,0.0
ESPA,15.427380952380952,0.0
ESSA,5.93257977198174,0.0
ESSB,2.2639624724061806,0.0
ESSD,4.116666666666666,0.0
ESSK,0.43333333333333335,0.0
ESSL,10.1342709798406,0.0
ESSP,2.4683882783882782,0.0
ESSU,16.55,0.0
ESSV,-1.6541666666666666,0.0
ESTA,-4.779268292682927,0.0
ESUP,4.55,0.0
ETAR,-1.6669811320754717,0.0
ETMN,-3.0738095238095235,0.0
ETND,3.96875,0.0
ETNG,0.8,0.0
ETNH,12.7,0.0
ETNL,1.9008078679311557,0.0
ETNS,-6.916666666666667,0.0
ETSI,-0.8808411214953271,0.0
ETSN,8.483333333333333,0.0
EVLA,-6.233333333333333,0.0
EVRA,5.777235806871569,0.0
EYKA,1.2365746298519407,0.0
EYPA,-2.8724358974358974,0.0
EYSA,-9.573333333333332,0.0
EYVI,3.036820257368203,0.0
FACT,10.798589427554095,0.0
FALA,9.322222222222223,0.0
FALE,18.813888888888886,0.0
FAOR,13.122705643826547,0.0
FAPE,-73.08333333333333,0.0
FAUP,12.5,0.0
FCBB,15.68324530516432,0.0
FCPP,7.6109719737626715,0.0
FEFF,9.518666666666666,0.0
FGBT,15.116666666666667,0.0
FGSL,6.498396904367054,0.0
FIMP,9.864797040591883,0.0
