time,airport,out_degree
2019-12-01,LIRF,12
2019-12-01,LQSA,2
2019-12-01,LWSK,2
2019-12-01,LYTV,1
2020-03-01,BKPR,0
2020-03-01,EDDF,10
2020-03-01,EDDM,10
2020-03-01,EGKK,5
2020-03-01,EGLL,11
2020-03-01,EHAM,6
2020-03-01,EIDW,9
2020-03-01,LATI,2
2020-03-01,LBBG,1
2020-03-01,LBSF,6
2020-03-01,LDDU,3
2020-03-01,LDSP,4
2020-03-01,LDZA,2
2020-03-01,LEBL,10
2020-03-01,LEMD,7
2020-03-01,LFPG,7
2020-03-01,LIRF,6
2020-03-01,LQSA,1
2020-03-01,LWSK,5
2020-03-01,LYTV,1
2020-06-01,BKPR,0
2020-06-01,EDDF,1
2020-06-01,EDDM,7
2020-06-01,EGKK,5
2020-06-01,EGLL,9
2020-06-01,EHAM,5
2020-06-01,EIDW,4
2020-06-01,LATI,1
2020-06-01,LBBG,1
2020-06-01,LBSF,5
2020-06-01,LDDU,1
2020-06-01,LDSP,0
2020-06-01,LDZA,6
2020-06-01,LEBL,5
2020-06-01,LEMD,2
2020-06-01,LFPG,6
2020-06-01,LIRF,2
2020-06-01,LQSA,6
2020-06-01,LWSK,7
2020-06-01,LYTV,1
2020-09-01,BKPR,0
2020-09-01,EDDF,13
2020-09-01,EDDM,14
2020-09-01,EGKK,8
2020-09-01,EGLL,4
2020-09-01,EHAM,7
2020-09-01,EIDW,12
2020-09-01,LATI,1
2020-09-01,LBBG,7
2020-09-01,LBSF,7
2020-09-01,LDDU,6
2020-09-01,LDSP,6
2020-09-01,LDZA,5
2020-09-01,LEBL,7
2020-09-01,LEMD,3
2020-09-01,LFPG,8
2020-09-01,LIRF,6
2020-09-01,LQSA,2
2020-09-01,LWSK,7
2020-09-01,LYTV,7
2020-12-01,BKPR,0
2020-12-01,EDDF,12
2020-12-01,EDDM,10
2020-12-01,EGKK,6
2020-12-01,EGLL,2
2020-12-01,EHAM,4
2020-12-01,EIDW,2
2020-12-01,LATI,2
2020-12-01,LBBG,0
2020-12-01,LBSF,4
2020-12-01,LDDU,6
2020-12-01,LDSP,2
2020-12-01,LDZA,4
2020-12-01,LEBL,4
2020-12-01,LEMD,3
2020-12-01,LFPG,8
2020-12-01,LIRF,9
2020-12-01,LQSA,3
2020-12-01,LWSK,0
2020-12-01,LYTV,3
2021-03-01,BKPR,2
2021-03-01,EDDF,2
2021-03-01,EDDM,8
2021-03-01,EGKK,3
2021-03-01,EGLL,4
2021-03-01,EHAM,4
2021-03-01,EIDW,4
2021-03-01,LATI,2
2021-03-01,LBBG,2
2021-03-01,LBSF,1
2021-03-01,LDDU,2
2021-03-01,LDSP,3
2021-03-01,LDZA,11
2021-03-01,LEBL,5
2021-03-01,LEMD,6
2021-03-01,LFPG,2
2021-03-01,LIRF,8
2021-03-01,LQSA,4
2021-03-01,LWSK,1
2021-03-01,LYTV,2
2021-06-01,BKPR,6
2021-06-01,EDDF,5
2021-06-01,EDDM,3
2021-06-01,EGKK,4
2021-06-01,EGLL,5
2021-06-01,EHAM,11
2021-06-01,EIDW,6
2021-06-01,LATI,2
2021-06-01,LBBG,2
2021-06-01,LBSF,4
2021-06-01,LDDU,3
2021-06-01,LDSP,6
2021-06-01,LDZA,4
2021-06-01,LEBL,7
2021-06-01,LEMD,10
2021-06-01,LFPG,6
2021-06-01,LIRF,3
2021-06-01,LQSA,7
2021-06-01,LWSK,6
2021-06-01,LYTV,1
2021-09-01,BKPR,2
2021-09-01,EDDF,10
2021-09-01,EDDM,16
2021-09-01,EGKK,12
2021-09-01,EGLL,14
2021-09-01,EHAM,11
2021-09-01,EIDW,7
